[SONG]				[ARTIST]
Recur				Taylor Deupree
Dx (Distance)			Filfla
Howling Rose			Haco
urah-shigue			Equadoodle
桜				Inari
000				OMB
lil				Kazumasa Hashimoto
Rainbow				Hofli
It's the Girl Picking Grass	Slowly Minute.	
Mid Winter, Snow Fielder	Blueberry Note
夕凪				Ironomi
Stella Di Mare			Camland	 
America				Miko
Merie				Pola
rc				Heoliene
owari no kisetsu		Rei Harakami
Ketle 1				Masakatsu Takagi
As Bambi Grew Older The Little 	Black To Comm
White Spots On 
His Back Disappeared
立冬				Hofli
Ruinruin			Kazaumasa Hashimoto
Undying Love			Ernest Wilson
